state,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lakshadweep,121.6,179.9,119.8271285,98.075,131.2416667,150.9666667,121.5666667,163.2583333,121.9583333,154.1,140.6416667,137.9083333,126.5416667,169.5,128.7916667,116.5416667,121.7989381,132.3721751,160.5416667,172.7086978,132.4509886,160.7083333,131.0166667,164.3333333,139.7416667,153.0166667,117.7503363,119.5246253,130.1825571,104.8666667,135.486481,157.8083333,192.8416667,90.65833333,127.4333333,145.3416667,120.3,128.9666667,100.6083333,117.225,96.95,148.85,166.073476,139.0083333,110.1083333,113.5226891,146.325,110.4416667,149.5575571,124.5083333,142.9416667,93.70833333,133.85,129.625,129.025,107.2833333,112.2666667,82.71666667,131.9666667,158.4833333,186.275,132.2166667,158.5083333,137.6416667,117.1583333,145.125,107.275,112.0333333,118.0083333,148.5833333,158.45,107.3,129.7833333,125.9416667,157.5416667,125.175,154.0166667,163.95,152.1166667,100.975,134.7833333,116,116.9333333,132.6333333,108.6166667,122.1583333,107.3833333,120.9,142.8666667,109.2083333,131.9166667,127.9083333,120.8083333,128.925,169.2416667,133.8333333,147.0583333,165.575,154.775,114.3416667,115.05,86.125,127.7416667,129.4333333,131.2833333,133.2166667,196.8,143.9,130.8416667,143.7666667,127.8083333,117.125,118.8583333,116.25,136.9083333,88.80833333,132.3721751
Madya Pradesh,64.09166667,65.33333333,69.825,50.3,44.80833333,62.025,67.925,60.16666667,62.93333333,76.26666667,45.375,63.74166667,61.04166667,86.575,75.65833333,89.375,78.18333333,36.51666667,73.24166667,50.025,61.19166667,67.09166667,56.74166667,62.35833333,55.14166667,65.6,77.08333333,69.30833333,57.53333333,77.425,94.35833333,87.08333333,96.03333333,71.53333333,68.25,61.29166667,76.2,93.85833333,68.475,74.44166667,64.525,78.43333333,82.75833333,90.5,66.10833333,91.96666667,75.46666667,84.68333333,79.45833333,77.70833333,66.39166667,56.95,74.475,82.08333333,81.75833333,102.8166667,70.81666667,87.84166667,93.24166667,73.825,89.21666667,74.91666667,74.99166667,78.8,65.88333333,69.79166667,76.1,68.66666667,82.01666667,78.43333333,64.44166667,43.325,81.71666667,75.98333333,86.725,85.49166667,78.925,73.64166667,85.55833333,78.29166667,77.48333333,62.66666667,76.55,64.98333333,54.66666667,53.69166667,67.29166667,81.375,68.04166667,85.20833333,73.39166667,65.925,84.99166667,85.13333333,64.7,81.275,83.40833333,91.75833333,80.48333333,58.45833333,65.40833333,61.68333333,64.375,85.79166667,101.7833333,116.3,86.7,76.4,78.49166667,85.63333333,71.04166667,57.5,80.20833333,69.83333333,53.70833333,75.51666667,82.85833333
Maharashtra,64.09166667,65.33333333,69.825,50.3,44.80833333,62.025,67.925,60.16666667,62.93333333,76.26666667,45.375,63.74166667,61.04166667,86.575,75.65833333,89.375,78.18333333,36.51666667,73.24166667,50.025,61.19166667,67.09166667,56.74166667,62.35833333,55.14166667,65.6,77.08333333,69.30833333,57.53333333,77.425,94.35833333,87.08333333,96.03333333,71.53333333,68.25,61.29166667,76.2,93.85833333,68.475,74.44166667,64.525,78.43333333,82.75833333,90.5,66.10833333,91.96666667,75.46666667,84.68333333,79.45833333,77.70833333,66.39166667,56.95,74.475,82.08333333,81.75833333,102.8166667,70.81666667,87.84166667,93.24166667,73.825,89.21666667,74.91666667,74.99166667,78.8,65.88333333,69.79166667,76.1,68.66666667,82.01666667,78.43333333,64.44166667,43.325,81.71666667,75.98333333,86.725,85.49166667,78.925,73.64166667,85.55833333,78.29166667,77.48333333,62.66666667,76.55,64.98333333,54.66666667,53.69166667,67.29166667,81.375,68.04166667,85.20833333,73.39166667,65.925,84.99166667,85.13333333,64.7,81.275,83.40833333,91.75833333,80.48333333,58.45833333,65.40833333,61.68333333,64.375,85.79166667,101.7833333,116.3,86.7,76.4,78.49166667,85.63333333,71.04166667,57.5,80.20833333,69.83333333,53.70833333,75.51666667,82.85833333
Manipur,180.6916667,181.2416667,185.9083333,209.9666667,210.625,209.5416667,176.8166667,193.2666667,192.4,189.0083333,206.65,192.4083333,217.7583333,210.7583333,234.9916667,212.9083333,185.1833333,251.1,170.675,197.975,219.85,205.225,223.7916667,225.1416667,203.95,205.2666667,240.6083333,206.0333333,238.2833333,207.2833333,205.1,230.15,204.3166667,253.4,211.9416667,243.1,228.475,247.6416667,217.3666667,210.575,247.175,223.4,202.3333333,239.7666667,254.3166667,253.0083333,267.5416667,235.1666667,248.025,201.9083333,217.45,234.2416667,221.8083333,242.0833333,238.775,251.8916667,191.9916667,164.0416667,193.9666667,150,158.4333333,151.875,247.5,194.0666667,169.25,206.5583333,185.8333333,175.8333333,300.8416667,359.6916667,256.7416667,112.825,175.5083333,194.1333333,184.15,220.9416667,196.55,179.2166667,145.7666667,192.075,172.6916667,168.9583333,215.675,204.5,175.4416667,195.1833333,196.7666667,235.0166667,196.5916667,215.1833333,237.6583333,185.125,240.1416667,142.7083333,195.0083333,182.8833333,184.3416667,185.45,186.075,196.9916667,179.1,186.8666667,180.1916667,196.1416667,153.0583333,156.0166667,211.525,145.7416667,144.8083333,191.2666667,157.6833333,160.25,129.7583333,133.325,160.1833333,163.0333333,233.775
Meghalaya,180.6916667,181.2416667,185.9083333,209.9666667,210.625,209.5416667,176.8166667,193.2666667,192.4,189.0083333,206.65,192.4083333,217.7583333,210.7583333,234.9916667,212.9083333,185.1833333,251.1,170.675,197.975,219.85,205.225,223.7916667,225.1416667,203.95,205.2666667,240.6083333,206.0333333,238.2833333,207.2833333,205.1,230.15,204.3166667,253.4,211.9416667,243.1,228.475,247.6416667,217.3666667,210.575,247.175,223.4,202.3333333,239.7666667,254.3166667,253.0083333,267.5416667,235.1666667,248.025,201.9083333,217.45,234.2416667,221.8083333,242.0833333,238.775,251.8916667,191.9916667,164.0416667,193.9666667,150,158.4333333,151.875,247.5,194.0666667,169.25,206.5583333,185.8333333,175.8333333,300.8416667,359.6916667,256.7416667,112.825,175.5083333,194.1333333,184.15,220.9416667,196.55,179.2166667,145.7666667,192.075,172.6916667,168.9583333,215.675,204.5,175.4416667,195.1833333,196.7666667,235.0166667,196.5916667,215.1833333,237.6583333,185.125,240.1416667,142.7083333,195.0083333,182.8833333,184.3416667,185.45,186.075,196.9916667,179.1,186.8666667,180.1916667,196.1416667,153.0583333,156.0166667,211.525,145.7416667,144.8083333,191.2666667,157.6833333,160.25,129.7583333,133.325,160.1833333,163.0333333,233.775
Mizoram,180.6916667,181.2416667,185.9083333,209.9666667,210.625,209.5416667,176.8166667,193.2666667,192.4,189.0083333,206.65,192.4083333,217.7583333,210.7583333,234.9916667,212.9083333,185.1833333,251.1,170.675,197.975,219.85,205.225,223.7916667,225.1416667,203.95,205.2666667,240.6083333,206.0333333,238.2833333,207.2833333,205.1,230.15,204.3166667,253.4,211.9416667,243.1,228.475,247.6416667,217.3666667,210.575,247.175,223.4,202.3333333,239.7666667,254.3166667,253.0083333,267.5416667,235.1666667,248.025,201.9083333,217.45,234.2416667,221.8083333,242.0833333,238.775,251.8916667,191.9916667,164.0416667,193.9666667,150,158.4333333,151.875,247.5,194.0666667,169.25,206.5583333,185.8333333,175.8333333,300.8416667,359.6916667,256.7416667,112.825,175.5083333,194.1333333,184.15,220.9416667,196.55,179.2166667,145.7666667,192.075,172.6916667,168.9583333,215.675,204.5,175.4416667,195.1833333,196.7666667,235.0166667,196.5916667,215.1833333,237.6583333,185.125,240.1416667,142.7083333,195.0083333,182.8833333,184.3416667,185.45,186.075,196.9916667,179.1,186.8666667,180.1916667,196.1416667,153.0583333,156.0166667,211.525,145.7416667,144.8083333,191.2666667,157.6833333,160.25,129.7583333,133.325,160.1833333,163.0333333,233.775
Nagaland,180.6916667,181.2416667,185.9083333,209.9666667,210.625,209.5416667,176.8166667,193.2666667,192.4,189.0083333,206.65,192.4083333,217.7583333,210.7583333,234.9916667,212.9083333,185.1833333,251.1,170.675,197.975,219.85,205.225,223.7916667,225.1416667,203.95,205.2666667,240.6083333,206.0333333,238.2833333,207.2833333,205.1,230.15,204.3166667,253.4,211.9416667,243.1,228.475,247.6416667,217.3666667,210.575,247.175,223.4,202.3333333,239.7666667,254.3166667,253.0083333,267.5416667,235.1666667,248.025,201.9083333,217.45,234.2416667,221.8083333,242.0833333,238.775,251.8916667,191.9916667,164.0416667,193.9666667,150,158.4333333,151.875,247.5,194.0666667,169.25,206.5583333,185.8333333,175.8333333,300.8416667,359.6916667,256.7416667,112.825,175.5083333,194.1333333,184.15,220.9416667,196.55,179.2166667,145.7666667,192.075,172.6916667,168.9583333,215.675,204.5,175.4416667,195.1833333,196.7666667,235.0166667,196.5916667,215.1833333,237.6583333,185.125,240.1416667,142.7083333,195.0083333,182.8833333,184.3416667,185.45,186.075,196.9916667,179.1,186.8666667,180.1916667,196.1416667,153.0583333,156.0166667,211.525,145.7416667,144.8083333,191.2666667,157.6833333,160.25,129.7583333,133.325,160.1833333,163.0333333,233.775
Orissa,107.0166667,112.4083333,130.6833333,126.2333333,113.1083333,117.35,120.6,119.2166667,127.9416667,133.2083333,118.1083333,116.4333333,128.6916667,133.2166667,119.7416667,123.2916667,154.1666667,108.125,146.4916667,116.875,110.3416667,122.2166667,104.8833333,105.2916667,150.6583333,127.975,127.1333333,132.125,136.4833333,120.5083333,123.0833333,120.0166667,154.25,124.075,101.6083333,156.325,130.6166667,120.1333333,130.3,140.6416667,119.6083333,120.6666667,132.2083333,134.0166667,128.2166667,134.575,117.575,111.1583333,112.4083333,116.0666667,116.3583333,126.4083333,119.8166667,100.6666667,133.0916667,157.1166667,106.4583333,135.3333333,124.65,132.75,162.1,112.2166667,130.175,112.875,97.88333333,107.2416667,118.9583333,122.0083333,106.925,117.6916667,133.0666667,110.4166667,131.125,82.25,116,98.25,123.1583333,119.9083333,83,121.9083333,107.9666667,104.8833333,119.3416667,114.7833333,133.9416667,129.9916667,91.475,108.9083333,108.3083333,158.7583333,122.7166667,110.7833333,120.675,145.3916667,134.5,88.46666667,125.3833333,113.1,123.7,91.43333333,139.375,91.9,137.35,107.5333333,125.2833333,143.075,136.15,128.25,110.8583333,107.6833333,112.1916667,117.1583333,136.025,128.0833333,100.8333333,104.4583333,112.0333333
Puducherry,121.6,179.9,119.8271285,98.075,131.2416667,150.9666667,121.5666667,163.2583333,121.9583333,154.1,140.6416667,137.9083333,126.5416667,169.5,128.7916667,116.5416667,121.7989381,132.3721751,160.5416667,172.7086978,132.4509886,160.7083333,131.0166667,164.3333333,139.7416667,153.0166667,117.7503363,119.5246253,130.1825571,104.8666667,135.486481,157.8083333,192.8416667,90.65833333,127.4333333,145.3416667,120.3,128.9666667,100.6083333,117.225,96.95,148.85,166.073476,139.0083333,110.1083333,113.5226891,146.325,110.4416667,149.5575571,124.5083333,142.9416667,93.70833333,133.85,129.625,129.025,107.2833333,112.2666667,82.71666667,131.9666667,158.4833333,186.275,132.2166667,158.5083333,137.6416667,117.1583333,145.125,107.275,112.0333333,118.0083333,148.5833333,158.45,107.3,129.7833333,125.9416667,157.5416667,125.175,154.0166667,163.95,152.1166667,100.975,134.7833333,116,116.9333333,132.6333333,108.6166667,122.1583333,107.3833333,120.9,142.8666667,109.2083333,131.9166667,127.9083333,120.8083333,128.925,169.2416667,133.8333333,147.0583333,165.575,154.775,114.3416667,115.05,86.125,127.7416667,129.4333333,131.2833333,133.2166667,196.8,143.9,130.8416667,143.7666667,127.8083333,117.125,118.8583333,116.25,136.9083333,88.80833333,132.3721751
Punjab,43.60833333,33.15833333,47.575,37.625,36.175,56.45833333,49.08333333,61.70833333,70.475,51.36666667,42.15,44.7,46.75833333,66.2,35.13333333,49.03333333,93.89166667,28.3,45.81666667,31.925,30.85833333,42.8,61.48333333,49.24166667,52.475,50.61666667,40.09166667,36.44166667,35.25,46.45,49.05833333,40.85833333,71.70833333,35.76666667,49.83333333,52.2,47.59166667,35.9,33.65,44.35833333,42.2,72.625,35.2,52.225,67.10833333,39.83333333,50.075,51.69166667,48.75,82.66666667,41.625,47.16666667,50.96666667,52.76666667,81.175,62.54166667,59.20833333,69,58.30833333,50.58333333,57.50833333,64.11666667,39.675,59.075,35.275,53.175,56.69166667,44.68333333,41.23333333,54.21666667,62.34166667,39.25833333,61.925,29.69166667,58.81666667,66.21666667,59.39166667,60.05833333,38.65833333,55.14166667,41.98333333,47.61666667,62.58333333,59.2,62.75,51,34.125,101.8833333,40.03333333,62.89166667,39.65,39.84166667,48.575,48.40833333,72.43333333,49.13333333,57.50833333,49.05,30.38333333,33.775,36.75,22.89166667,35.4,29.31666667,46,53.975,49.56666667,59.76666667,30.09166667,37.625,58.75833333,41.125,48.88333333,31.90833333,42.56666667,37.00833333,41.45833333
Rajasthan,13.23333333,16.29166667,25.6,13.99166667,9.533333333,22.46666667,29.44166667,48.5,35.51666667,24.45,11.575,23.31666667,20.675,25.19166667,12.275,35.14166667,64.06666667,5.183333333,25.41666667,20.71666667,18.16666667,20.40833333,22.78333333,24.75,14.13333333,36.68333333,27.70833333,22.675,25.275,19.16666667,32.94166667,22.09166667,31.35,26.86666667,21.39166667,22.11666667,24.36666667,15.29166667,11.45,24.36666667,18.71666667,28.24166667,24.625,43.75,30.325,18.58333333,21.1,19.45833333,18.725,23.19166667,14.99166667,22.26666667,25.35833333,20.875,32.60833333,31.175,22.275,22.00833333,27.95,18.15,33.35833333,21.86666667,14.54166667,28.11666667,17.93333333,21.075,28.35833333,11.83333333,9.908333333,29.64166667,20.975,15.49166667,37.9,13.69166667,46.15833333,35.425,32.43333333,31.63333333,25.7,19.85833333,20.70833333,25.98333333,39.10833333,16.94166667,16.44166667,17.01666667,11.91666667,23.36666667,20.68333333,37.08333333,14.925,35.48333333,24.45833333,34.61666667,30.65,25.65,28.76666667,23.3,17.025,19.61666667,23.775,7.683333333,30.675,16.4,21.71666667,30.10833333,25.89166667,27.00833333,13.375,39.44166667,34.89166667,27.275,32.45833333,25.2,38.20833333,28.91666667,34.01666667
Sikkim,176.0916667,265.025,200.3583333,180.825,250.4166667,218.1583333,210.8333333,165.6833333,222.5166667,253.8416667,266.175,232.8083333,244.575,201.1916667,208.75,289.7333333,236.8166667,248.475,212.0333333,240.3416667,292.775,250.1416667,207.4083333,245.9,240.5416667,219.8,227.6833333,239.0833333,244.275,182.0166667,239.7,226.3,209.5083333,217.7416667,232.0916667,221.6916667,214.025,270.7666667,215.9166667,193.35,226.4916667,197.1083333,243.1333333,215.2666667,229.6166667,230.7,211.1833333,244.7083333,273.9666667,230.2166667,223.6,272.575,216.1666667,254.6416667,249.4,240.45,185.4583333,235.0166667,215.0166667,217.5333333,192.0166667,210.15,217.0666667,248.4583333,230.2333333,209.6166667,238.375,281.5666667,202.0666667,225.1833333,268.9083333,201.2166667,233.7166667,278.4583333,221.9833333,232.8333333,242.2,198.1583333,209.3083333,262.3833333,247.4416667,194.7916667,236.5583333,229.0333333,253.1583333,197.1166667,265.4583333,261.7916667,237.8833333,297.1166667,256.0166667,196.575,241.325,177.2583333,296.475,233.35,212.6166667,304.6,276.9416667,242.3416667,217.7166667,212.2416667,226.9166667,226.2333333,233.975,188.5083333,219.8916667,224.15,193.725,217.7083333,201.5666667,219.3583333,200.5083333,193.5416667,209.875,218.7333333,223.7333333
Tamilnadu,80.03333333,94.86666667,96.98333333,55.275,68.425,82.50833333,73.8,63.75,79.54166667,78.63333333,67.925,75.34166667,73.25,79.44166667,82.38333333,74.79166667,79.025,72.65,85.71666667,96.19166667,81.60833333,90.025,69.50833333,74.6,84.45833333,67.975,69.16666667,80.90833333,81.475,106.2833333,86.65,92.48333333,84.24166667,69.975,74.48333333,78.70833333,85,65.25,87.98333333,98.20833333,83.9,70.60833333,98.95,102.3,65.33333333,107.8416667,78.28333333,75.55,70.04166667,62.29166667,71.25,59.68333333,80.66666667,84.69166667,88.38333333,82.48333333,72.25,71.04166667,74.525,84.48333333,75.9,78.46666667,89.39166667,75.88333333,76.80833333,97.24166667,74.93333333,65.78333333,80.15,78.5,87.3,91.10833333,71.55833333,54.4,76.975,71.58333333,103.8333333,83.24166667,91.94166667,59.1,87.16666667,56.56666667,83.99166667,85.30833333,88.61666667,79.41666667,80.28333333,69.76666667,71.39166667,75.26666667,79.56666667,76.56666667,90.19166667,75.49166667,70.28333333,89.10833333,79.20833333,89.98333333,76.88333333,81.01666667,40.29166667,26.5,29.04166667,86.46666667,113.7833333,77.31666667,88.925,100.2833333,77.375,91.275,77.225,53.01666667,61.83333333,76.08333333,100.3833333,44.6,81.08333333
Telangana,68.975,52.53333333,106.9583333,43.89166667,60.4,71.275,70.3,81.9,64.125,81.31666667,55.16666667,61.98333333,61.00833333,90.28333333,85.16666667,96.89166667,100.4916667,46.23333333,74.54166667,36.4,83.61666667,63.975,65.525,78.7,97.325,63.625,83.8,83.85833333,65.89166667,69.65833333,98.58333333,79.15833333,116.3416667,77.33333333,74.875,96.40833333,72.16666667,97.95,61.675,90.21666667,49.53333333,75.58333333,74.95,80.03333333,85.625,68.575,83.79166667,76.25,86.55,63.45,75.06666667,60.81666667,106,77.36666667,100.2666667,93.38333333,81.93333333,92.81666667,102.0166667,69.95833333,95.55,94.89166667,84.18333333,73.95833333,64.9,80.91666667,78.50833333,62.375,87.25833333,80.85,60.76666667,55.9,86.86666667,69.18333333,101.3083333,86.30833333,67.375,109.3166667,65.975,76.875,95.31666667,77.76666667,124.7833333,61.88333333,65.48333333,83.94166667,81.41666667,128.7333333,96.75,118.7916667,70.75,71.95833333,73.8,81.325,107.1583333,82.23333333,71.325,91.09166667,71.96666667,89.825,76.85,63.775,80.275,55.59166667,96.91666667,87.74166667,70.275,86.275,55.51666667,106.375,62.75833333,84.05,112.3916667,62.2,71.43333333,86.95,67.975
Tripura,180.6916667,181.2416667,185.9083333,209.9666667,210.625,209.5416667,176.8166667,193.2666667,192.4,189.0083333,206.65,192.4083333,217.7583333,210.7583333,234.9916667,212.9083333,185.1833333,251.1,170.675,197.975,219.85,205.225,223.7916667,225.1416667,203.95,205.2666667,240.6083333,206.0333333,238.2833333,207.2833333,205.1,230.15,204.3166667,253.4,211.9416667,243.1,228.475,247.6416667,217.3666667,210.575,247.175,223.4,202.3333333,239.7666667,254.3166667,253.0083333,267.5416667,235.1666667,248.025,201.9083333,217.45,234.2416667,221.8083333,242.0833333,238.775,251.8916667,191.9916667,164.0416667,193.9666667,150,158.4333333,151.875,247.5,194.0666667,169.25,206.5583333,185.8333333,175.8333333,300.8416667,359.6916667,256.7416667,112.825,175.5083333,194.1333333,184.15,220.9416667,196.55,179.2166667,145.7666667,192.075,172.6916667,168.9583333,215.675,204.5,175.4416667,195.1833333,196.7666667,235.0166667,196.5916667,215.1833333,237.6583333,185.125,240.1416667,142.7083333,195.0083333,182.8833333,184.3416667,185.45,186.075,196.9916667,179.1,186.8666667,180.1916667,196.1416667,153.0583333,156.0166667,211.525,145.7416667,144.8083333,191.2666667,157.6833333,160.25,129.7583333,133.325,160.1833333,163.0333333,233.775
Uttar Pradesh,64.66666667,61.38333333,67.375,78.775,36.11666667,81.55,49.14166667,72.175,75.25,72.975,62.64166667,67.025,41.26666667,73.95833333,66.875,92.85,93.35,30.99166667,80.74166667,51.9,82.68333333,83.4,75.18333333,88.675,78.65833333,76.425,77.85,53.71666667,54.2,65.7,77.56666667,58.825,86.29166667,74.80833333,65.39166667,101.55,56.40833333,60.86666667,60.09166667,65.325,43.025,90.68333333,70.86666667,64.2,80.5,74.73333333,67.41666667,85.675,75.55,69.50833333,60.73333333,72.94166667,63.46666667,73.26666667,88.40833333,88.70833333,83.76666667,97.11666667,64.025,94.13333333,99.84166667,66.51666667,77.475,83.5,56.13333333,63.00833333,96.425,57.75833333,73.175,71.99166667,83.575,48.75833333,67.16666667,55.74166667,82.45,54.41666667,82.86666667,103.6666667,46.5,82.05,61.625,80.75,99.30833333,65.1,79.76666667,59.60833333,38.90833333,86.29166667,54.78333333,79.85,62.4,68.39166667,64.34166667,67.25,68.90833333,78.425,37.1,72.275,65.53333333,64.275,55.14166667,52.1,87.28333333,53.53333333,60.46666667,44.1,47.70833333,66.63333333,45.76666667,68.38333333,64.775,32.46666667,77.725,40.56666667,48.56666667,57.75,48.775
Uttarakhand,130.2,110.3416667,108.8916667,124.3416667,108.5166667,128.1666667,99.525,104.675,143.15,163.6583333,128.575,116.1916667,94.8,161.7416667,133.4333333,139.8916667,175.25,101.2833333,131.9416667,110.7083333,154.0666667,155.0083333,131.9083333,160.5916667,127.9166667,115.1083333,137.4833333,103.4833333,101.0083333,105.9333333,111.1833333,114.1416667,132.9833333,111.5916667,94.75833333,159.3583333,127.7916667,127.4333333,95.225,101.9833333,88.46666667,142.625,113.875,99.9,137.325,127.225,113.3333333,127.9583333,117.6833333,132.0083333,97.875,123.15,130.4916667,155.2333333,138.9166667,161.9083333,148.3916667,124.9166667,145.2416667,128.3416667,162.35,137.3,150.1583333,147.4583333,108.8083333,122.1583333,129.675,123.2083333,136.3166667,107.7833333,150.3,89.825,103.3,96.8,131.6833333,82.19166667,118.025,169.2833333,89.35833333,111.1166667,113.025,114.3416667,127.1,111.5916667,137.8,126.2,82.26666667,133.5333333,105.3,130.4166667,85.05833333,92.34166667,132.8333333,120.15,134.675,116.7833333,66.95833333,99.88333333,98.8,142.7333333,128.7,131.225,144.5333333,101.6333333,112.35,98.24166667,160.3666667,113.6333333,70.63333333,118.6666667,130.3833333,101.9916667,144.6083333,107.2916667,103.9666667,109.05,122.9833333
West Bengal,176.0916667,265.025,200.3583333,180.825,250.4166667,218.1583333,210.8333333,165.6833333,222.5166667,253.8416667,266.175,232.8083333,244.575,201.1916667,208.75,289.7333333,236.8166667,248.475,212.0333333,240.3416667,292.775,250.1416667,207.4083333,245.9,240.5416667,219.8,227.6833333,239.0833333,244.275,182.0166667,239.7,226.3,209.5083333,217.7416667,232.0916667,221.6916667,214.025,270.7666667,215.9166667,193.35,226.4916667,197.1083333,243.1333333,215.2666667,229.6166667,230.7,211.1833333,244.7083333,273.9666667,230.2166667,223.6,272.575,216.1666667,254.6416667,249.4,240.45,185.4583333,235.0166667,215.0166667,217.5333333,192.0166667,210.15,217.0666667,248.4583333,230.2333333,209.6166667,238.375,281.5666667,202.0666667,225.1833333,268.9083333,201.2166667,233.7166667,278.4583333,221.9833333,232.8333333,242.2,198.1583333,209.3083333,262.3833333,247.4416667,194.7916667,236.5583333,229.0333333,253.1583333,197.1166667,265.4583333,261.7916667,237.8833333,297.1166667,256.0166667,196.575,241.325,177.2583333,296.475,233.35,212.6166667,304.6,276.9416667,242.3416667,217.7166667,212.2416667,226.9166667,226.2333333,233.975,188.5083333,219.8916667,224.15,193.725,217.7083333,201.5666667,219.3583333,200.5083333,193.5416667,209.875,218.7333333,223.7333333
West Uttar Pradesh,64.66666667,61.38333333,67.375,78.775,36.11666667,81.55,49.14166667,72.175,75.25,72.975,62.64166667,67.025,41.26666667,73.95833333,66.875,92.85,93.35,30.99166667,80.74166667,51.9,82.68333333,83.4,75.18333333,88.675,78.65833333,76.425,77.85,53.71666667,54.2,65.7,77.56666667,58.825,86.29166667,74.80833333,65.39166667,101.55,56.40833333,60.86666667,60.09166667,65.325,43.025,90.68333333,70.86666667,64.2,80.5,74.73333333,67.41666667,85.675,75.55,69.50833333,60.73333333,72.94166667,63.46666667,73.26666667,88.40833333,88.70833333,83.76666667,97.11666667,64.025,94.13333333,99.84166667,66.51666667,77.475,83.5,56.13333333,63.00833333,96.425,57.75833333,73.175,71.99166667,83.575,48.75833333,67.16666667,55.74166667,82.45,54.41666667,82.86666667,103.6666667,46.5,82.05,61.625,80.75,99.30833333,65.1,79.76666667,59.60833333,38.90833333,86.29166667,54.78333333,79.85,62.4,68.39166667,64.34166667,67.25,68.90833333,78.425,37.1,72.275,65.53333333,64.275,55.14166667,52.1,87.28333333,53.53333333,60.46666667,44.1,47.70833333,66.63333333,45.76666667,68.38333333,64.775,32.46666667,77.725,40.56666667,48.56666667,57.75,48.775
